person_key,event_name,gender,times,dates
6660,100 FR (SCY),F,"['56.28', '56.88', '54.53', '55.78', '56.28', '56.88', '56.24', '55.78', '56.28', '56.88', '54.53', '55.44', '55.98', '56.88', '56.24', '55.44', '56.28', '56.88', '56.24', '55.44', '55.98', '56.88', '54.53', '55.78', '55.98', '56.88', '56.24', '55.78', '55.98', '56.88', '54.53', '55.44']","['20131110', '20140227', '20151108', '20171118', '20131110', '20140227', '20150215', '20171118', '20131110', '20140227', '20151108', '20170303', '20130307', '20140227', '20150215', '20170303', '20131110', '20140227', '20150215', '20170303', '20130307', '20140227', '20151108', '20171118', '20130307', '20140227', '20150215', '20171118', '20130307', '20140227', '20151108', '20170303']"
12273,1650 FR (SCY),F,"['1149.5', '1108.11', '1089.92', '1085.96']","['20130308', '20140227', '20150301', '20170218']"
12788,100 FL (SCY),M,"['54.58', '53.82', '52.67', '51.59']","['20140507', '20150216', '20160513', '20180223']"
17397,200 FR (SCY),M,"['109.05', '107.1', '104.22', '110.35']","['20121109', '20131108', '20141116', '20161112']"
18466,400 IM (SCY),F,"['272.71', '261.84', '264.6', '258.28']","['20121130', '20140227', '20150327', '20170224']"
18466,400 IM (LCM),F,"['308.81', '298.21', '299.08', '300.1']","['20130614', '20140730', '20150627', '20170714']"
18466,200 IM (SCY),F,"['126.39', '122.93', '124.45', '125.23']","['20130510', '20140516', '20150213', '20161117']"
18466,200 IM (LCM),F,"['142.69', '140.22', '140.53', '142.88']","['20130805', '20140523', '20150619', '20170526']"
18466,200 FR (SCY),F,"['117.21', '109.91', '111.73', '108.86']","['20121201', '20140506', '20141210', '20170222']"
18466,400 FR (LCM),F,"['289.13', '263.2', '262.17', '261.03']","['20130614', '20140718', '20150626', '20170602']"
18466,100 FR (SCY),F,"['53.56', '51.18', '53.14', '52.86']","['20130119', '20140518', '20150308', '20161203']"
18466,200 FR (LCM),F,"['128.47', '124.9', '124.63', '124.91']","['20130614', '20140730', '20150627', '20170603']"
18466,100 FR (LCM),F,"['58.98', '59.72', '58.81', '59.94']","['20130805', '20140619', '20150626', '20170528']"
18466,200 BR (SCY),F,"['141.05', '138.35', '140.71', '138.7']","['20130512', '20140227', '20150326', '20170225']"
18466,500 FR (SCY),F,"['315.79', '291.11', '295.77', '287.22']","['20121110', '20140506', '20150328', '20170223']"
24105,50 FR (SCY),F,"['25.94', '25.21', '24.31', '24.41', '26.57', '25.21', '24.31', '24.41']","['20141102', '20160305', '20161216', '20181129', '20140606', '20160305', '20161216', '20181129']"
24105,100 FL (SCY),F,"['61.7', '55.98', '55.76', '56.28', '58.11', '55.98', '55.76', '56.28']","['20140606', '20160226', '20170224', '20190222', '20150314', '20160226', '20170224', '20190222']"
24105,200 BK (SCY),F,"['127.43', '124.59', '121.09', '120.74', '134.47', '124.59', '121.09', '120.74']","['20150315', '20160305', '20170304', '20190223', '20140606', '20160305', '20170304', '20190223']"
24105,100 BK (SCY),F,"['62.26', '54.6', '54.49', '55.44', '57.72', '54.6', '54.49', '55.44']","['20140606', '20160226', '20170224', '20190222', '20150227', '20160226', '20170224', '20190222']"
35292,100 FL (SCY),F,"['60.36', '59.09', '59.86', '58.37']","['20131206', '20141212', '20151204', '20171117']"
36903,100 FR (SCY),M,"['53.85', '50.85', '50.24', '49.89']","['20130308', '20140228', '20150308', '20170204']"
37268,100 FL (SCY),M,"['55.26', '53.67', '51.72', '50.62']","['20150227', '20160225', '20170317', '20190301']"
37268,200 IM (SCY),M,"['128.24', '121.7', '114.89', '116.04']","['20150321', '20160225', '20170318', '20190302']"
40817,100 FL (SCY),M,"['55.72', '53.19', '52.99', '51.68']","['20130105', '20140111', '20150315', '20170305']"
40817,100 FR (SCY),M,"['49.87', '48.04', '46.7', '46.25']","['20130105', '20140111', '20150306', '20170306']"
41067,50 FR (SCY),M,"['22.25', '21.62', '20.92', '20.36']","['20130221', '20140214', '20150213', '20170303']"
41067,100 FL (SCY),M,"['54.88', '54.1', '53.98', '50.58']","['20130118', '20140227', '20150301', '20170304']"
41067,100 FR (SCY),M,"['48.93', '47.81', '45.87', '44.28']","['20130221', '20140214', '20150214', '20170305']"
43423,100 FR (SCY),M,"['52.3', '48.26', '47.92', '44.51']","['20121102', '20131108', '20141109', '20161120']"
43423,500 FR (SCY),M,"['301.73', '291.18', '291.35', '276.35']","['20121102', '20131108', '20141107', '20161118']"
43423,50 FR (SCY),M,"['24.23', '22.44', '22.23', '20.97']","['20121102', '20131108', '20141109', '20170113']"
43423,200 FR (SCY),M,"['114.32', '106.09', '105.25', '97.36']","['20121102', '20131108', '20141108', '20161209']"
43423,400 IM (SCY),M,"['277.14', '261.04', '256.06', '234.04']","['20121102', '20131108', '20141107', '20161119']"
43423,200 IM (SCY),M,"['131.58', '119.17', '119.19', '108.45']","['20121102', '20131108', '20141109', '20161118']"
43423,200 BK (SCY),M,"['125.92', '117.45', '116.21', '115.84']","['20121102', '20131108', '20141109', '20170114']"
