person_key,event_name,gender,time1,date_key1,time2,date_key2,time3,date_key3,time4,date_key4
6660,100 FR (SCY),F,55.98,20130307,56.88,20140227,56.24,20150215,55.78,20171118
6660,50 FR (SCY),F,26.28,20130307,26.33,20140214,24.91,20151106,25.03,20170305
6660,50 FR (SCY),F,26.28,20130307,25.96,20141109,24.91,20151106,25.5,20171116
6660,100 FL (SCY),F,59.7,20131108,60.93,20140214,60.32,20150227,59.98,20170303
6660,100 FL (SCY),F,60.03,20130307,60.93,20140214,60.32,20150227,59.98,20170303
6660,100 FL (SCY),F,59.7,20131108,60.42,20141107,60.32,20150227,59.98,20170303
6660,50 FR (SCY),F,25.98,20131110,26.33,20140214,26.08,20141205,25.5,20171116
6660,50 FR (SCY),F,26.28,20130307,25.96,20141109,24.91,20151106,25.03,20170305
6660,100 FR (SCY),F,55.98,20130307,56.88,20140227,54.53,20151108,55.44,20170303
6660,50 FR (SCY),F,25.98,20131110,26.33,20140214,24.91,20151106,25.5,20171116
6660,50 FR (SCY),F,26.28,20130307,25.96,20141109,26.08,20141205,25.5,20171116
6660,100 FL (SCY),F,59.7,20131108,60.93,20140214,59.03,20151106,59.98,20170303
12273,1650 FR (SCY),F,1149.5,20130308,1108.11,20140227,1089.92,20150301,1085.96,20170218
12788,100 FL (SCY),M,54.58,20140507,53.82,20150216,52.67,20160513,51.59,20180223
17397,200 FR (SCY),M,109.05,20121109,107.1,20131108,104.22,20141116,110.35,20161112
18466,400 IM (SCY),F,272.71,20121130,261.84,20140227,264.6,20150327,258.28,20170224
18466,400 IM (LCM),F,308.81,20130614,298.21,20140730,299.08,20150627,300.1,20170714
18466,200 IM (SCY),F,126.39,20130510,122.93,20140516,124.45,20150213,125.23,20161117
18466,200 IM (LCM),F,142.69,20130805,140.22,20140523,140.53,20150619,142.88,20170526
18466,200 FR (SCY),F,117.21,20121201,109.91,20140506,111.73,20141210,108.86,20170222
18466,400 FR (LCM),F,289.13,20130614,263.2,20140718,262.17,20150626,261.03,20170602
18466,100 FR (SCY),F,53.56,20130119,51.18,20140518,53.14,20150308,52.86,20161203
18466,200 FR (LCM),F,128.47,20130614,124.9,20140730,124.63,20150627,124.91,20170603
18466,100 FR (LCM),F,58.98,20130805,59.72,20140619,58.81,20150626,59.94,20170528
18466,200 BR (SCY),F,141.05,20130512,138.35,20140227,140.71,20150326,138.7,20170225
18466,500 FR (SCY),F,315.79,20121110,291.11,20140506,295.77,20150328,287.22,20170223
24105,50 FR (SCY),F,25.94,20141102,25.21,20160305,24.31,20161216,24.41,20181129
24105,100 FL (SCY),F,61.7,20140606,55.98,20160226,55.76,20170224,56.28,20190222
24105,200 BK (SCY),F,127.43,20150315,124.59,20160305,121.09,20170304,120.74,20190223
24105,50 FR (SCY),F,26.57,20140606,25.21,20160305,24.31,20161216,24.41,20181129
24105,100 FL (SCY),F,58.11,20150314,55.98,20160226,55.76,20170224,56.28,20190222
24105,100 BK (SCY),F,62.26,20140606,54.6,20160226,54.49,20170224,55.44,20190222
24105,200 BK (SCY),F,134.47,20140606,124.59,20160305,121.09,20170304,120.74,20190223
24105,100 BK (SCY),F,57.72,20150227,54.6,20160226,54.49,20170224,55.44,20190222
35292,100 FL (SCY),F,60.36,20131206,59.09,20141212,59.86,20151204,58.37,20171117
36903,100 FR (SCY),M,53.85,20130308,50.85,20140228,50.24,20150308,49.89,20170204
37268,100 FL (SCY),M,55.26,20150227,53.67,20160225,51.72,20170317,50.62,20190301
37268,200 IM (SCY),M,128.24,20150321,121.7,20160225,114.89,20170318,116.04,20190302
40817,100 FL (SCY),M,55.72,20130105,53.19,20140111,52.99,20150315,51.68,20170305
40817,100 FR (SCY),M,49.87,20130105,48.04,20140111,46.7,20150306,46.25,20170306
41067,50 FR (SCY),M,22.25,20130221,21.62,20140214,20.92,20150213,20.36,20170303
41067,100 FL (SCY),M,54.88,20130118,54.1,20140227,53.98,20150301,50.58,20170304
41067,100 FR (SCY),M,48.93,20130221,47.81,20140214,45.87,20150214,44.28,20170305
43423,100 FR (SCY),M,52.3,20121102,48.26,20131108,47.92,20141109,44.51,20161120
43423,500 FR (SCY),M,301.73,20121102,291.18,20131108,291.35,20141107,276.35,20161118
43423,50 FR (SCY),M,24.23,20121102,22.44,20131108,22.23,20141109,20.97,20170113
43423,200 FR (SCY),M,114.32,20121102,106.09,20131108,105.25,20141108,97.36,20161209
43423,400 IM (SCY),M,277.14,20121102,261.04,20131108,256.06,20141107,234.04,20161119
43423,200 IM (SCY),M,131.58,20121102,119.17,20131108,119.19,20141109,108.45,20161118
43423,200 BK (SCY),M,125.92,20121102,117.45,20131108,116.21,20141109,115.84,20170114
45166,100 FL (SCY),M,56.52,20130302,53.82,20140306,51.95,20150306,49.11,20170310
45166,100 FR (SCY),M,52.87,20130302,50.57,20140208,48.34,20141109,46.46,20170121
45166,200 FR (SCY),M,112.94,20130216,107.72,20140207,102.86,20141221,100.34,20161119
45166,200 IM (SCY),M,130.57,20130208,123.03,20140110,118.89,20141019,111.28,20170310
45166,500 FR (SCY),M,297.63,20130216,285.88,20140306,273.78,20150215,267.69,20170223
45166,200 FL (SCY),M,120.72,20130216,114.8,20140306,111.08,20150215,109.5,20170225
45166,1000 FR (SCY),M,608.7,20130216,585.65,20140215,576.02,20141222,570.51,20170113
